Rank,Artist,Song,Popularity,URL
3,Phil Manzanera,Héroe de leyenda - Nueva mezcla; 2000 Remastered Version,24,https://open.spotify.com/track/3R7QqtNAQ68qk8DE57rDj1
4,Phil Manzanera,Fuente esperanza - Nueva mezcla; 2000 Remastered Version,27,https://open.spotify.com/track/3O0WzGt1szXy5rv97wv41O
5,Phil Manzanera,Agosto - Nueva mezcla; 2000 Remastered Version,27,https://open.spotify.com/track/27rRoBblhioBhJqX2hBwaY
6,Phil Manzanera,En brazos de la fiebre - Remix; 2000 Remastered Version,26,https://open.spotify.com/track/0G536kkJ47vuwJytlb0Xa4
7,Phil Manzanera,El camino del exceso - Remix; 2000 Remastered Version,25,https://open.spotify.com/track/2g1SKrlWSwZryJrtKjUNAE
8,Phil Manzanera,Con nombre de guerra - Nueva mezcla; 2000 Remastered Version,24,https://open.spotify.com/track/3JSzGqPn6F1CStUNxFHhyZ
9,Phil Manzanera,Tesoro - Remix; 2000 Remastered Version,15,https://open.spotify.com/track/6jesBnx0XJkrEh0zwBPXwy
10,Phil Manzanera,La vida moderna,9,https://open.spotify.com/track/5Mjz2bLk0WGPV4y04nGY3B
1,Dean Martin,Volare (Nel Blu Di Pinto Di Blu) - Remastered,64,https://open.spotify.com/track/5OkKOkdVTKFrYi6GWXkMzR
2,Dean Martin,Everybody Loves Somebody,58,https://open.spotify.com/track/5I9sHwLDX28tLtzVgKLtpr
3,Dean Martin,That's Amore,61,https://open.spotify.com/track/4I4aQGNJ2HufloNtB65nxR
4,Dean Martin,Ain't That A Kick In The Head,59,https://open.spotify.com/track/7fQ3PYTYdu208fQ3JEm2U7
5,Dean Martin,Sway (Quien Sera),54,https://open.spotify.com/track/3QyPsavxL681NX7SPVGd5T
6,Dean Martin,You're Nobody 'Til Somebody Loves You - Remastered/1997,57,https://open.spotify.com/track/4WUcNkpoNSKoe5MUuyzrfC
7,Dean Martin,Let It Snow! Let It Snow! Let It Snow!,55,https://open.spotify.com/track/2uFaJJtFpPDc5Pa95XzTvg
8,Dean Martin,Memories Are Made Of This,43,https://open.spotify.com/track/2NqpaHct1cbjo5OMKVgxq1
9,Dean Martin,Mambo Italiano,53,https://open.spotify.com/track/7DuqCAxfOEKBfQgrnWfHrh
10,Dean Martin,On An Evening In Roma (Sott'er Celo De Roma) - Remastered,49,https://open.spotify.com/track/16pUlUFjyp6BtDtxC0i9ch
1,Ashley Campbell,Remembering,30,https://open.spotify.com/track/4KLR0limTRRLMotfXDS06a
2,Ashley Campbell,Forever's Not That Long,18,https://open.spotify.com/track/1GkdNAMtYP17I9GxfIX6qy
3,Ashley Campbell,Wichita Lineman,17,https://open.spotify.com/track/138ptkMoGJwImvHvTPDO2E
4,Ashley Campbell,Remembering - Single Version,17,https://open.spotify.com/track/2bRHtTxdUFrko7lcSGqy7i
5,Ashley Campbell,Home Again,17,https://open.spotify.com/track/6o1HEZdCcLNSa732pamP9N
6,Ashley Campbell,Prisoner,14,https://open.spotify.com/track/5MqnLbxhnaNq51VIrDQXO6
7,Ashley Campbell,Something To Brag About,12,https://open.spotify.com/track/5dc3cAAoSujrAh5Py4CRhI
8,Ashley Campbell,Better Boyfriend,9,https://open.spotify.com/track/4bbAAjcj6TXTdgMowRYden
9,Ashley Campbell,The Lonely One,8,https://open.spotify.com/track/59rU8M0FgPeagMDdSJNUyu
10,Ashley Campbell,Wish I Wanted To,9,https://open.spotify.com/track/4XvvhBYmGBXDfPu6PPjoMe
1,Ruff Ryders,Down Bottom,47,https://open.spotify.com/track/58jV4YBV2WpCb00gJfht9a
2,Ruff Ryders,WW III,45,https://open.spotify.com/track/3vm7NBtMNULBDQ8yAwVoWC
3,Ruff Ryders,Jigga My Nigga,44,https://open.spotify.com/track/0Db1a7sL9MOjXgO5Z7zRM4
4,Ruff Ryders,What Ya Want,43,https://open.spotify.com/track/7trv6zFBS6YUuJsZf5U8uE
5,Ruff Ryders,Holiday,34,https://open.spotify.com/track/5iQtTTUO4ludB0YaOE6NbN
6,Ruff Ryders,Twisted Heat,34,https://open.spotify.com/track/2ujmxgowpCnREoMW9bBxxG
7,Ruff Ryders,Some X S***,33,https://open.spotify.com/track/2evxqPG8u9DkVdnCtPh1Hk
8,Ruff Ryders,Kiss Of Death,33,https://open.spotify.com/track/2UYVjyl4ldjDcGUnk7Xd7L
9,Ruff Ryders,Dope Money,33,https://open.spotify.com/track/1oTkYiSmKUDvpL12Jwwcme
10,Ruff Ryders,Go Head,32,https://open.spotify.com/track/6Nt9qhlLMsvkgMui6psLTQ
1,The Walker Brothers,The Sun Ain't Gonna Shine Anymore,54,https://open.spotify.com/track/42TtgFndtWMIr0UqJl01HA
2,The Walker Brothers,No Regrets,46,https://open.spotify.com/track/6hzqAmGSQv3Sb5tY0WB8RA
3,The Walker Brothers,Make It Easy On Yourself,42,https://open.spotify.com/track/5DNmWyeY9sildeeHnmIImG
4,The Walker Brothers,We're All Alone,40,https://open.spotify.com/track/2wobjBE3h5HAp2jsgxYrRn
5,The Walker Brothers,After The Lights Go Out,40,https://open.spotify.com/track/3gJVvIbQ3Y93DdJMMAjtAs
6,The Walker Brothers,(Baby) You Don't Have To Tell Me,38,https://open.spotify.com/track/1P128kTjVMGSJli2WJhqLU
7,The Walker Brothers,The Electrician,37,https://open.spotify.com/track/1xD44zf2m2Ww06kZFRmeEc
8,The Walker Brothers,Nite Flights,34,https://open.spotify.com/track/5ZsjiK0NIgNmDhe5qiCVJI
9,The Walker Brothers,My Ship Is Coming In,34,https://open.spotify.com/track/12PwIOeRv57DKhn5NRfPxJ
10,The Walker Brothers,I Can't Let It Happen To You,28,https://open.spotify.com/track/750KbZ32wwIF8O3CI0T1aG
1,The Righteous Brothers,Unchained Melody,70,https://open.spotify.com/track/2qhASBzpbFhPRtrnZ5lLnz
2,The Righteous Brothers,You've Lost That Lovin' Feelin' - Single Version,63,https://open.spotify.com/track/6AeyHqzNHJthYJbn0tvJ4b
3,The Righteous Brothers,(You're My) Soul And Inspiration,47,https://open.spotify.com/track/5ZHOiRqKOzgFMfMAu8cwzp
4,The Righteous Brothers,Time of My Life,42,https://open.spotify.com/track/4PrjkjbIYtnA4BY9YQ21Zf
5,The Righteous Brothers,Rock And Roll Heaven,39,https://open.spotify.com/track/7c8fTb0e6BocxwiyRq8Gz6
6,The Righteous Brothers,Just Once In My Life,35,https://open.spotify.com/track/3Qg7WE98qRezh4Jq9fCKr8
7,The Righteous Brothers,Ebb Tide,34,https://open.spotify.com/track/1zbo64lsdu5s67XpqMdbiz
8,The Righteous Brothers,Little Latin Lupe Lu,33,https://open.spotify.com/track/4chenBloh1KMtdNSjkDAzR
9,The Righteous Brothers,Old Man River,32,https://open.spotify.com/track/5GKjBb9WDq7c5fwgTvF9ZA
10,The Righteous Brothers,Guess Who,30,https://open.spotify.com/track/6t21XVV1qbChyGLICV4Cwn
1,Tears For Fears,Everybody Wants To Rule The World,80,https://open.spotify.com/track/4RvWPyQ5RL0ao9LPZeSouE
2,Tears For Fears,Shout,71,https://open.spotify.com/track/2gQaQUhDCNGfBVXTvxAmXQ
3,Tears For Fears,Woman In Chains,66,https://open.spotify.com/track/5jmwL2MniQj9ldptIm1h1B
4,Tears For Fears,Mad World,65,https://open.spotify.com/track/0Qv7xi6uPSqH2k82tOkGSt
5,Tears For Fears,"Head Over Heels - Dave Bascombe 7"" N.Mix",64,https://open.spotify.com/track/5lwQGZYF4BXOzFtXc5zk8q
6,Tears For Fears,Sowing The Seeds Of Love,62,https://open.spotify.com/track/0PbAyLrJRDxckQBLQ2Addc
7,Tears For Fears,Advice For The Young At Heart,56,https://open.spotify.com/track/3BjD16l0CBQxUvcRI7vLWN
8,Tears For Fears,Break It Down Again,56,https://open.spotify.com/track/15kc3DJyYixeEEq5kRRrOm
9,Tears For Fears,Pale Shelter - 2nd Single Version,56,https://open.spotify.com/track/0Xam0zVac3hKWWN4OQ5Gdr
10,Tears For Fears,Head Over Heels / Broken,55,https://open.spotify.com/track/0aF9m87P8Tja3NUMv4DfHt
1,Dio,Holy Diver,61,https://open.spotify.com/track/57fqmDaokbxZ3TaB0jp39q
2,Dio,Rainbow in the Dark,60,https://open.spotify.com/track/2PpNgmrS9mAyrkRAwn6YPq
3,Dio,The Last in Line,52,https://open.spotify.com/track/6LUGAFpbYVek4rRY0G9dV0
4,Dio,We Rock,47,https://open.spotify.com/track/4cMKvXUOLFbC6lRLCz5HPg
5,Dio,Don't Talk to Strangers,45,https://open.spotify.com/track/0FVDva1nGzMI4IFhb5vrBq
6,Dio,Stand up and Shout,44,https://open.spotify.com/track/0j7hyKTaetFpKsCgOyGPAI
7,Dio,Push,45,https://open.spotify.com/track/4xD8Pb5UGURJwnn9vi2Igu
8,Dio,Straight Through the Heart,40,https://open.spotify.com/track/1dlBMzm6CqwQIUQ8PbT3NP
9,Dio,Caught in the Middle,38,https://open.spotify.com/track/55NekArnnNyOT0ngtn4fpx
10,Dio,Dream Evil,35,https://open.spotify.com/track/1iD4k9S6OXgF2a7ETP0dkC
1,Eve,Let Me Blow Ya Mind,71,https://open.spotify.com/track/3RmKpob8xzv1pzHEQrMJah
2,Eve,Who's That Girl?,62,https://open.spotify.com/track/3uVE5vLKkigiWBOQEgmdDk
3,Eve,Tambourine,59,https://open.spotify.com/track/1U16aNzvnlfARgjWXjKmQj
4,Eve,Gangsta Lovin',57,https://open.spotify.com/track/0WgLpgUdThEpA5L5K0SKq7
5,Eve,Got What You Need,55,https://open.spotify.com/track/7qzgIi9e4yrLnzp67MFqNv
6,Eve,"No, No, No",49,https://open.spotify.com/track/0uYiq008XEGyl5CvbP7P5W
7,Eve,Love Is Blind,44,https://open.spotify.com/track/0H2jfzzREOr9MF95HB7ry6
8,Eve,Satisfaction,44,https://open.spotify.com/track/0klzutEUO6IX3QSmtRDFrq
9,Eve,Reload (feat. Konshens),42,https://open.spotify.com/track/6MRDopxFY5SeLtaPfeDONq
10,Eve,"I'm Better (feat. Eve, Lil Kim & Trina)",41,https://open.spotify.com/track/0dT3vnJFJwHfwOfPLacyKy
1,Climax Blues Band,Couldn't Get It Right,52,https://open.spotify.com/track/7GSCnEFxiD6Im98CbfySDw
2,Climax Blues Band,I Love You,51,https://open.spotify.com/track/3VyJPsb2ucaaVptLSDpJNH
3,Climax Blues Band,Together and Free,33,https://open.spotify.com/track/5yHcM1eTaXnz2WpUz35zhM
4,Climax Blues Band,Couldn't Get It Right,25,https://open.spotify.com/track/1GBdajRQx0DdruVj8kxksv
5,Climax Blues Band,"Hey Baby, Everything's Gonna Be Alright, Yeh Yeh Yeh",25,https://open.spotify.com/track/0IDPpYCPWQfcMJABUxqoGc
6,Climax Blues Band,Couldn't Get It Right,24,https://open.spotify.com/track/2YPcnVaGRuzVVeVOLoG3ik
7,Climax Blues Band,Straight Down The Middle,24,https://open.spotify.com/track/1gWmsRXg7WgHLvn8M8sjQJ
8,Climax Blues Band,Mighty Fire,19,https://open.spotify.com/track/37MB8OP297Dom35XwGPs3L
9,Climax Blues Band,Mole On the Dole,19,https://open.spotify.com/track/6DikMdzpUKSefBqJHpcUGi
10,Climax Blues Band,Fool For The Bright Lights,18,https://open.spotify.com/track/4GIGDKa6g2BUuH4InSOoLN
1,James Bay,Peer Pressure,77,https://open.spotify.com/track/4RE3vueod5PL48rvHtuu9C
2,James Bay,Us,74,https://open.spotify.com/track/16XiTUC2rQvb5lmtOm3FYY
3,James Bay,Let It Go,74,https://open.spotify.com/track/13HVjjWUZFaWilh2QUJKsP
4,James Bay,Bad,73,https://open.spotify.com/track/3xRcQ04b0l5RiU2w7lJhCD
5,James Bay,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,69,https://open.spotify.com/track/359lSGQwvAM3aZA5UNwqiQ
6,James Bay,Hold Back The River,64,https://open.spotify.com/track/7tmtOEDxPN7CWaQWBsG1DY
7,James Bay,Let It Go - James Bay Spotify Session 2015,67,https://open.spotify.com/track/4tYokojnBEp5pBWO7wTRPA
8,James Bay,Wild Love - Acoustic,66,https://open.spotify.com/track/4zDQS1OCghoOKkjw6hf2qT
9,James Bay,"If I Ain’t Got You - James Bay Spotify Session 2015 ""Alicia Keys Cover""",66,https://open.spotify.com/track/1zJpJ3HPRtAYYNLWm5BJEf
10,James Bay,Break My Heart Right,65,https://open.spotify.com/track/6BP8sg44smNB3pbD4QAOzi
1,Duke Ellington,In A Sentimental Mood,66,https://open.spotify.com/track/0E8q2Fx2XuzXCO2NSAppkR
2,Duke Ellington,My Little Brown Book,62,https://open.spotify.com/track/4rmCI9VWrwrJTJ8XQ80BMN
3,Duke Ellington,Haupe,54,https://open.spotify.com/track/05d3KM9JTyNnnWIjo8PKvf
4,Duke Ellington,"Take the ""A"" Train",54,https://open.spotify.com/track/6KBsivP3Of4z2x6uNMAyE3
5,Duke Ellington,Jack the Bear,50,https://open.spotify.com/track/2Sg3qUH02hlzKchItbq389
6,Duke Ellington,The Single Petal Of A Rose - The Queen's Suite,50,https://open.spotify.com/track/1PoaSCeoBUCPg25k7XTvNN
7,Duke Ellington,Isfahan,48,https://open.spotify.com/track/1qHrF4XOI6Pliy7atNjLds
8,Duke Ellington,It Don't Mean a Thing (If It Ain't Got That Swing),48,https://open.spotify.com/track/4M5Mnz9ORqaMMUAgKtv3bI
9,Duke Ellington,Take The Coltrane,47,https://open.spotify.com/track/6aNnVdpAQu8R0qGq5NMXyZ
10,Duke Ellington,Azalea,45,https://open.spotify.com/track/02Z7LG6DNTuVTJiGdvTwDu
1,Three Dog Night,Joy To The World,64,https://open.spotify.com/track/2ymeOsYijJz09LfKw3yM2x
2,Three Dog Night,Never Been To Spain - Single Version,58,https://open.spotify.com/track/61OQuSzsom6geFCA18JwO6
3,Three Dog Night,Mama Told Me (Not To Come) - Single Version,58,https://open.spotify.com/track/1CAO7hiNOxJRPW4nFv2aRO
4,Three Dog Night,Shambala - Single Version,55,https://open.spotify.com/track/0P6fEgTn3cxLLyYTJYoYGj
5,Three Dog Night,One - Single Version,49,https://open.spotify.com/track/4ME2YQNThxEW63fxojzHvN
6,Three Dog Night,An Old Fashioned Love Song,45,https://open.spotify.com/track/5RiLHDGPrVvAEtpvICiqYM
7,Three Dog Night,Out In The Country,42,https://open.spotify.com/track/5TdGMnyETHJU5RdjFFbVRR
8,Three Dog Night,The Show Must Go On,41,https://open.spotify.com/track/4MD7QeIz9dH9U6WMJxKqfB
9,Three Dog Night,Black And White,41,https://open.spotify.com/track/4XcUADpOth9Wroq5EVMFJq
10,Three Dog Night,Easy To Be Hard - Single Version,39,https://open.spotify.com/track/0MNLIgIY9cW7N2rhvx8W9b
1,The Libertines,Can't Stand Me Now,63,https://open.spotify.com/track/71D4LseR0RADPbyvMeTIHR
2,The Libertines,Don’t Look Back Into The Sun,43,https://open.spotify.com/track/1xKrHVZW1NOH7WknHNvW8j
3,The Libertines,Time For Heroes,55,https://open.spotify.com/track/79hW2iblmoT71PtfEj40Rn
4,The Libertines,What Katie Did,53,https://open.spotify.com/track/39BYRAiJhO6fWPJTDYhMxm
5,The Libertines,Music When The Lights Go Out,53,https://open.spotify.com/track/59aBJF7Nh9dkYbXY7xHZFk
6,The Libertines,You're My Waterloo,39,https://open.spotify.com/track/186x1ht8MfZ0rMxQvsEAct
7,The Libertines,Gunga Din,33,https://open.spotify.com/track/5jf38pUhqe7EK21pwWPwGu
8,The Libertines,Up The Bracket,44,https://open.spotify.com/track/5j3KU7D9dxolJu0kS2WHY4
9,The Libertines,What Became of the Likely Lads,43,https://open.spotify.com/track/3QKCxyJA3ITuCAaxEhjAxt
10,The Libertines,The Good Old Days,42,https://open.spotify.com/track/4ifE4zMKKtKXIbZIHtnAMU
1,Status Quo,Rockin' All Over The World,47,https://open.spotify.com/track/1ydpGKWD5D8tvTHWN8h58q
2,Status Quo,Whatever You Want,36,https://open.spotify.com/track/2PkOmx1S4XOwPU1Pgyaoig
3,Status Quo,Pictures of Matchstick Men - Mono Version,54,https://open.spotify.com/track/0MRs5O62wfDgf5cQKalrPq
4,Status Quo,The Wanderer,27,https://open.spotify.com/track/2Da1ZaQLX9lMEXpBiJiKHJ
5,Status Quo,Roll Over Lay Down,39,https://open.spotify.com/track/3RTTs0HDk9rX2jqQa1BM1m
6,Status Quo,Caroline,40,https://open.spotify.com/track/3fSWHHIHLRvdB5PYJ7PXrF
7,Status Quo,Gerdundula,42,https://open.spotify.com/track/2R4siHns6J5KWkdvEKAP74
8,Status Quo,"Fun, Fun, Fun",24,https://open.spotify.com/track/506bViKaohwPE3sm13JOqK
9,Status Quo,Paper Plane,17,https://open.spotify.com/track/5KTinOz0R3nwWBNk921MPv
10,Status Quo,Down Down,23,https://open.spotify.com/track/3ClAmvFgX0hQ1yv4KI1xxn
1,Joe Sample,Rio De Janeiro Blue,48,https://open.spotify.com/track/0g7z3mwBdTn60MIL30TxhZ
2,Joe Sample,Everybody's Talking,47,https://open.spotify.com/track/0WU4L5lelOjccOeydME65Z
3,Joe Sample,Leading Me Back to You,43,https://open.spotify.com/track/6rtGTWFi7HGoK9nCU7gsVA
4,Joe Sample,One Day I Fly Away,43,https://open.spotify.com/track/5G4mD6dNtV9V30npBbAj0i
5,Joe Sample,When I Need You,40,https://open.spotify.com/track/50vVWF1lAFb1A4ZnIQWsr1
6,Joe Sample,U Turn,39,https://open.spotify.com/track/2MX5LrnzqPKdiyxwFez2Ma
7,Joe Sample,See Line Woman,37,https://open.spotify.com/track/1S0Gx1R13Somg6WKobPcMc
8,Joe Sample,In All My Wildest Dreams,37,https://open.spotify.com/track/0S84tthIVDN3rEVOejJVsM
9,Joe Sample,When Your Life Was Low,36,https://open.spotify.com/track/3CObSbajZV0iSviNXZFhfk
10,Joe Sample,Street Life,34,https://open.spotify.com/track/5jdyZZl1zFVdzFvN2cWHWE
1,Bill Evans,Skating In Central Park,62,https://open.spotify.com/track/1cpANF6zMBoFoxkoIjZHjv
2,Bill Evans,Gary's Theme - Remastered,60,https://open.spotify.com/track/6yrnPCDXguFp5eZTGmZawc
3,Bill Evans,Peace Piece,57,https://open.spotify.com/track/58yFroDNbzHpYzvicaC0de
4,Bill Evans,I Hear A Rhapsody,56,https://open.spotify.com/track/2oEvw0AfrT2fPNpEnBwVml
5,Bill Evans,Lucky To Be Me,54,https://open.spotify.com/track/253MlEWhgOkU3ncefccjMR
6,Bill Evans,Blue In Green (Take 3),53,https://open.spotify.com/track/60p18YXhrzLNrAaUXL8Bu6
7,Bill Evans,Young And Foolish,51,https://open.spotify.com/track/1WygPWqmNs4s2fxtjmtI3O
8,Bill Evans,Waltz for Debby,50,https://open.spotify.com/track/1tSzm6vk58gS0NZwYS18W0
9,Bill Evans,What Are You Doing The Rest Of Your Life?,48,https://open.spotify.com/track/6fGqxkBPqoIq4SQ3mtbHMI
10,Bill Evans,Autumn Leaves,48,https://open.spotify.com/track/7JtcCde09fsajDNHmPFrX7
1,Bonnie Raitt,I Can't Make You Love Me,67,https://open.spotify.com/track/69uJi5QsBtqlYkGURTBli8
2,Bonnie Raitt,Something To Talk About,61,https://open.spotify.com/track/6Ceejf3zBXvAhIY9DbP1Pr
3,Bonnie Raitt,Angel from Montgomery - Remastered,61,https://open.spotify.com/track/6JssQFiBCi6ZcE6060S9A7
4,Bonnie Raitt,Angel from Montgomery - Live,60,https://open.spotify.com/track/4glBT0NI4cHCYnCO9fMgfA
5,Bonnie Raitt,Thank You - Remastered,58,https://open.spotify.com/track/2zLIjfjQ8kMy7WSSLmF0I2
6,Bonnie Raitt,Nick Of Time,52,https://open.spotify.com/track/1gqk2dawfdLdn4XamF27cx
7,Bonnie Raitt,Love Me Like a Man - Remastered,52,https://open.spotify.com/track/0h06YSqzwbAU9ZDuIvw8pk
8,Bonnie Raitt,Feels Like Home,47,https://open.spotify.com/track/7mUQ0w8i88ObXwSnrUwfZO
9,Bonnie Raitt,Six Strings Down,44,https://open.spotify.com/track/0C7mriFxQZ24xpDXgSfIc8
10,Bonnie Raitt,Dimming Of The Day,43,https://open.spotify.com/track/3g3ngs81nNMZn6kW1BA8Hs
1,R.E.M.,Losing My Religion,81,https://open.spotify.com/track/31AOj9sFz2gM0O3hMARRBx
2,R.E.M.,Everybody Hurts,74,https://open.spotify.com/track/6PypGyiu0Y2lCDBN1XZEnP
3,R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),71,https://open.spotify.com/track/2oSpQ7QtIKTNFfA08Cy0ku
4,R.E.M.,Shiny Happy People,71,https://open.spotify.com/track/1v2zyAJrChw5JnfafSkwkJ
5,R.E.M.,Man On The Moon,67,https://open.spotify.com/track/4jLv3tDBu8ww2R07DvL12s
6,R.E.M.,The One I Love - Remastered,63,https://open.spotify.com/track/2fdfsGuqb6SBX5ocoBWHUd
7,R.E.M.,Nightswimming,63,https://open.spotify.com/track/6G0NzOx2jEPFsSmhr9N8Ys
8,R.E.M.,Drive,62,https://open.spotify.com/track/3geRffSf6eAruhg23RkpKV
9,R.E.M.,Find The River,58,https://open.spotify.com/track/1e3Q7gE5TRUklXOlZFKIrv
10,R.E.M.,Stand - Remastered,58,https://open.spotify.com/track/22UhQSbYimuCnvI0Y07gFX
1,Phil Collins,In The Air Tonight - 2015 Remastered,77,https://open.spotify.com/track/18AXbzPzBS8Y3AkgSxzJPb
2,Phil Collins,You Can't Hurry Love - 2016 Remaster,77,https://open.spotify.com/track/4YwbSZaYeYja8Umyt222Qf
3,Phil Collins,Against All Odds (Take a Look at Me Now) - 2016 Remaster,74,https://open.spotify.com/track/63CHa6rmamv9OsehkRD8oz
4,Phil Collins,Another Day in Paradise - 2016 Remaster,74,https://open.spotify.com/track/1NCuYqMc8hKMb4cpNTcJbD
5,Phil Collins,One More Night - 2016 Remaster,69,https://open.spotify.com/track/6fkvIT9KFKxO8poBeKfaEf
6,Phil Collins,Easy Lover,65,https://open.spotify.com/track/5LYJ631w9ps5h9tdvac7yP
7,Phil Collins,Sussudio - 2016 Remaster,67,https://open.spotify.com/track/4qM461TqtpnP4GLRIXwEnW
8,Phil Collins,"You'll Be In My Heart - From ""Tarzan""/Soundtrack Version",62,https://open.spotify.com/track/6kvnSiMBa65Nz29g2TYmyW
9,Phil Collins,Do You Remember? - 2016 Remaster,65,https://open.spotify.com/track/3TLtCHUaiMHcQcJVGVW2p2
10,Phil Collins,Can't Stop Loving You - 2016 Remaster,62,https://open.spotify.com/track/2W6PNGCN4PGwPMf1jYazL4
1,Freddie Mercury,Living On My Own - No More Brothers Radio Mix,40,https://open.spotify.com/track/26d8YSPkK1T9GTLE2ogIDq
2,Freddie Mercury,Barcelona,39,https://open.spotify.com/track/07rjmFuB0I2O1UuIPnu6Qj
3,Freddie Mercury,Time Waits For No One,51,https://open.spotify.com/track/2drbAkZsG7PSe1eVT5kRvy
4,Freddie Mercury,The Great Pretender,45,https://open.spotify.com/track/7m1JSCGnmorA3tjtWJpDj4
5,Freddie Mercury,I Was Born To Love You,40,https://open.spotify.com/track/6EF9h8oMckapErRYmLmmDT
6,Freddie Mercury,Living on My Own - Single Edit,36,https://open.spotify.com/track/1Lc9JahgQBinguxIJREPfd
7,Freddie Mercury,Love Me Like There's No Tomorrow - Special Edition,46,https://open.spotify.com/track/1nx4C7WpgRVTIeAmWIX8FD
8,Freddie Mercury,Living on My Own - Julian Raymond Album Mix,35,https://open.spotify.com/track/0PB9ebi1YHVz86DrzIJTBS
9,Freddie Mercury,How Can I Go On - New Orchestrated Version,33,https://open.spotify.com/track/53zAT6ZjqAC4v0n03O1Ond
10,Freddie Mercury,Love Me Like There's No Tomorrow,42,https://open.spotify.com/track/6Kc2mOSfLIiYqb7Wzu6tbB
1,Lynyrd Skynyrd,Sweet Home Alabama,81,https://open.spotify.com/track/7e89621JPkKaeDSTQ3avtg
2,Lynyrd Skynyrd,Free Bird,71,https://open.spotify.com/track/5EWPGh7jbTNO2wakv8LjUI
3,Lynyrd Skynyrd,Simple Man,69,https://open.spotify.com/track/1ju7EsSGvRybSNEsRvc7qY
4,Lynyrd Skynyrd,Gimme Three Steps,68,https://open.spotify.com/track/0x2wtJbtJrox3SDmnMj97x
5,Lynyrd Skynyrd,Tuesday's Gone,63,https://open.spotify.com/track/64sn7wgJfeQKY3Jisnl59w
6,Lynyrd Skynyrd,The Ballad Of Curtis Loew,60,https://open.spotify.com/track/6PPhp1qpAjLUxQr75vSD4H
7,Lynyrd Skynyrd,Call Me The Breeze,59,https://open.spotify.com/track/12WiGqEs3t5hrzBJTe1K0P
8,Lynyrd Skynyrd,That Smell,59,https://open.spotify.com/track/52DKGPMQ21DauCR19pQ0BK
9,Lynyrd Skynyrd,Saturday Night Special,55,https://open.spotify.com/track/0ZQmpf5gk4k5VMopcAtyAc
10,Lynyrd Skynyrd,I Need You,53,https://open.spotify.com/track/2UQWW8rhNJo5tBt77LnbZH
1,Alan Jackson,Chattahoochee,67,https://open.spotify.com/track/59kHPbwyyCApYA8RQQEuXm
2,Alan Jackson,It's Five O'Clock Somewhere,58,https://open.spotify.com/track/07KYRDFf8Q6sqj4PWCP9vh
3,Alan Jackson,I Don't Need Your Rockin' Chair - Version w/special guests,64,https://open.spotify.com/track/3nKLfeoq3YedJIZqvRW3Qz
4,Alan Jackson,Country Boy,63,https://open.spotify.com/track/5RuCWf4bJC0rqA05b7nWfd
5,Alan Jackson,Remember When,49,https://open.spotify.com/track/1M1HscO3JywTvswsVx1GcI
6,Alan Jackson,Don't Rock the Jukebox,61,https://open.spotify.com/track/3oyByfBYegVEDwYyqx9pRd
7,Alan Jackson,Gone Country,47,https://open.spotify.com/track/6IEIPevuDocD80PovsX6kN
8,Alan Jackson,Little Bitty,57,https://open.spotify.com/track/2IY559smG7SXYk229NA2Vl
9,Alan Jackson,Good Time,60,https://open.spotify.com/track/6lyKOW0FNW6aAZdKVgoM8m
10,Alan Jackson,Livin' On Love,42,https://open.spotify.com/track/15gU2OepIEbeNTBbes6pIF
1,George Benson,Nothing's Gonna Change My Love for You,66,https://open.spotify.com/track/0vB4Vd6PtkJSEnWsmqATnZ
2,George Benson,Give Me the Night,62,https://open.spotify.com/track/62GYoGszQfROZswLee6W3O
3,George Benson,Breezin',59,https://open.spotify.com/track/1m3BAsNsQAaSNMD2M6vlKY
4,George Benson,On Broadway,56,https://open.spotify.com/track/2oFxITGDiTZ1JRwP8yinRt
5,George Benson,In Your Eyes,55,https://open.spotify.com/track/1nHN3m6EzCzKAmDgwoLBMD
6,George Benson,Turn Your Love Around,52,https://open.spotify.com/track/6a899bXlCuViXW2Qs8Rdqo
7,George Benson,You Are the Love of My Life,52,https://open.spotify.com/track/50cZJ9FB4U0qDHd4hywCG0
8,George Benson,Give Me the Night,51,https://open.spotify.com/track/5gaUkg5JNk8c4mr2jnpX8H
9,George Benson,Since I Fell For You,44,https://open.spotify.com/track/6VRvhiVLih80IWCTXY8Sxr
10,George Benson,Love X Love,48,https://open.spotify.com/track/1Gnufs5iuI3h5ow29J7tOO
1,Vangelis,Conquest of Paradise,61,https://open.spotify.com/track/5avVpUakfMHD6qGpaH26CF
2,Vangelis,"Love Theme (From ""Blade Runner"")",55,https://open.spotify.com/track/2oDR7QWoLBk9VYMwsFbRGq
3,Vangelis,Rachel's Song,54,https://open.spotify.com/track/5JtTSaH8W6UVqViPgpcqTq
4,Vangelis,Chariots Of Fire,54,https://open.spotify.com/track/6GxhckZeqoWNF9n9XS91HS
5,Vangelis,Blade Runner Blues,53,https://open.spotify.com/track/575blCgesVtCu0HEYaIcas
6,Vangelis,Blade Runner - End Titles,52,https://open.spotify.com/track/1u1ATklwZesAvq1whHsI8Z
7,Vangelis,La petite fille de la mer - Remastered,50,https://open.spotify.com/track/3uNFRvQVEIEsQgHdZFw6Dk
8,Vangelis,"Main Titles (From ""Blade Runner"")",50,https://open.spotify.com/track/6baN5nSUIVTsUyugSuAj7U
